SKU_Code,Design_No.,Stock,Category,Size,Color
SET188-KR-NP-XXL,SET188,13,kurta set,XXL,pink
SET188-KR-NP-XXXL,SET188,58,kurta set,XXXL,pink
SET191-KR-PP-L,SET191,1,kurta set,L,navy blue
SET191-KR-PP-M,SET191,2,kurta set,M,navy blue
SET191-KR-PP-S,SET191,3,kurta set,S,navy blue
SET191-KR-PP-XL,SET191,3,kurta set,XL,navy blue
SET191-KR-PP-XS,SET191,35,kurta set,XS,navy blue
SET191-KR-PP-XXL,SET191,2,kurta set,XXL,navy blue
SET191-KR-PP-XXXL,SET191,1,kurta set,XXXL,navy blue
SET192-KR-NP-L,SET192,3,kurta set,L,teal
SET192-KR-NP-M,SET192,6,kurta set,M,teal
SET192-KR-NP-S,SET192,18,kurta set,S,teal
SET192-KR-NP-XL,SET192,4,kurta set,XL,teal
SET192-KR-NP-XS,SET192,25,kurta set,XS,teal
SET192-KR-NP-XXL,SET192,7,kurta set,XXL,teal
SET192-KR-NP-XXXL,SET192,8,kurta set,XXXL,teal
SET193-KR-NP-L,SET193,1,kurta set,L,pink
SET193-KR-NP-M,SET193,4,kurta set,M,pink
SET193-KR-NP-S,SET193,29,kurta set,S,pink
SET193-KR-NP-XL,SET193,11,kurta set,XL,pink
SET193-KR-NP-XS,SET193,10,kurta set,XS,pink
SET193-KR-NP-XXL,SET193,32,kurta set,XXL,pink
SET193-KR-NP-XXXL,SET193,42,kurta set,XXXL,pink
SET194-KR-NP-L,SET194,84,kurta set,L,mustard
SET194-KR-NP-M,SET194,96,kurta set,M,mustard
SET194-KR-NP-S,SET194,53,kurta set,S,mustard
SET194-KR-NP-XL,SET194,27,kurta set,XL,mustard
SET194-KR-NP-XS,SET194,114,kurta set,XS,mustard
SET194-KR-NP-XXL,SET194,167,kurta set,XXL,mustard
SET194-KR-NP-XXXL,SET194,82,kurta set,XXXL,mustard
SET195-KR-NP-L,SET195,8,kurta set,L,beige
SET195-KR-NP-M,SET195,3,kurta set,M,beige
SET195-KR-NP-S,SET195,6,kurta set,S,beige
SET195-KR-NP-XL,SET195,4,kurta set,XL,beige
SET195-KR-NP-XS,SET195,19,kurta set,XS,beige
SET195-KR-NP-XXL,SET195,7,kurta set,XXL,beige
SET195-KR-NP-XXXL,SET195,16,kurta set,XXXL,beige
SET196-KR-NP-L,SET196,51,kurta set,L,red
SET196-KR-NP-M,SET196,85,kurta set,M,red
SET196-KR-NP-S,SET196,81,kurta set,S,red
SET196-KR-NP-XL,SET196,40,kurta set,XL,red
